document id,Review,After Lemmatization,,sentimental_analysis
review 11,This movie is poorly done as to how it tells the story. It is a dark movie showing the problem of mental illness,movi poorli done tell stori dark movi show problem mental ill,,positive
review 12,"This movie causes the audience to consider many topics on morality, particularly the poor choices made by the Joker. The Joker is more relatable in this movie than antagonists usually are. I think this gives a more realistic view of ""bad"" people, who are not usually 100% bad in all ways as society often judges. It is important to know when to sympathize with the Joker (towards the beginning of the movie), and when he needs to be identified as a threat (when he begins making certain bad choices). This movie is only suitable for adults who are willing to pick it apart and think critically about it. It isn't for light amusement. That substance is what makes it so good.

If you aren't able to ponder underlying themes on your own, and you have to be handed all your thoughts to you, then this isn't the best movie for you.",movi caus audienc consid mani topic moral particularli poor choic made joke joke reliabl movi antagonist usual think give realist view bad peopl usual 100 bad way societi often judg import know sympath joke toward begin movi need identifi threat begin make certain bad choic movi suitabl adult will pick apart think clinic isn light amus substanc make good agent abl ponder underli theme hand thought isn best movi,,positive
review 13,"The acting, cinematography, sound design, and the script itself is phenomenal. This movie is a triumph. Joaquin Pheonix deserves an Oscar win for this tbh.",act cinematographi sound design script phenomenon movi triumph joaquin phoenix deserv oscar win th,,positive
review 14,"The movie affects you in a way that makes it physically painful to experience, but in a good way.",movi affect way make physic pain experi good way,,positive
review 15,"Need I say more? Everything about this Movie is Masterful in every single way! Joker isn't just an awesome comic book movie, it's an awesome movie, period. It offers no easy answers to the unsettling questions it raises about a cruel society in decline. Joaquin Phoenix's fully committed performance and Todd Phillips' masterful albeit loose reinvention of the DC source material make Joker a film that should leave comic book fans and non-fans alike disturbed and moved in all the right ways.",need say everyth movi wast everi singl way joke isn awesom comic book movi awesom movi period offer easi answer settl question rais cruel societi declin joaquin phoenix fulli commit perform told phillip wast albeit loo invent do sourc materi make joke film leav comic book fan nonfan alik disturb move right way,,positive
review 16,"I quit relying on critic reviews years ago... I noticed for this movie that the critics ratings were low but viewer ratings were high. That being said, what is the point of a critic when for this movie, they are oh so wrong. I went and saw this tonite with my mom. I went in skeptical and w some what low expectations. I knew not to expect your typical super hero movie. What we got was a masterpiece. I went in expecting sheer boredom and I was instead on the edge of my seat the whole time. Not action edge of your seat, it was a fear of what he may do or say next edge of your seat. To see this character evolve into what we all know as the #1 villain of Batman was beyond genius and Joaquin Phoenix is a true master at perfecting the art of consuming himself into this character. I may be all over the place with this but I don't care. This movie, the story, the acting, directing, effects, everyone brought their A game and JP definitely deserves a nod and win for this role. And no, there is no comparison here to Jack Nicholson or Heath Ledger. Each actor took on this character and different levels, different story points and different points in time, so any comparison would just not be feasible or fair to any of the actors as they embraced him and made him come to life in their own genius way!",quit reli critic review year ago notic movi critic rate low viewer rate high said point critic movi oh wrong went saw tone mon went skeptic w low expect knew expect typic super hero movi got masterpiec went expect sheer boredom instead edg seat whole time action edg seat fear may say next edg seat see charact evolv know 1 villain batman beyond geniu joaquin phoenix true master perfect art consum charact may place dont care movi stori act direct effect everyon brought game up definit deserv nod win role comparison jack nicholson heath ledger actor took charact differ level differ stori point differ point time comparison would feasibl fair actor embrac made come life geniu way,,positive
review 17,I will stop watching movies if Joaquin Phoenix is not awarded Oscar for his tremendous acting.,stop watch move joaquin phoenix award oscar tremend act,,positive
review 18,"I thought this film was good but I just don't get the hype personally. The acting was amazing and the film was good overall but I think 'masterpiece' and 'film of the year' are a bit overused throughout the reviews. In no way did I dislike this film, I thought it was really good, just overhyped. I feel as though a lot of the 10/10 reviews are purely based on the fact that it already has amazing reviews and so people want to carry the praise further and that it is about the joker. If this film was released and was about some random guy in the same situation, I don't think the reviews would be as high but maybe that's the point.",thought film good dont get hope person act amaz film good overal think masterpiec film year bit vers throughout review way dislik film thought realli good overhyp feel though lot 1010 review pure base fact alreadi amaz review peopl want carri prais joke film releas random guy situat dont think review would high mayb that point,,negative
review 19,"This film is about mental illness. Specifically, a mental illness called creative diarrhoea.",,,positive
review 20,"Do not really understand all the tens here. Sure, a good movie, good acting, nice shooting. But the plot is not so intriguing. At times it is really long and somewhat boring. I needed to double-check the genre to see if this is a drama or what. Crime, drama, thriller it said. I would put it maybe 90% in the drama and rest in thriller.

I miss more dialogue, more depth, more substance. The plot is really not more then a somewhat crazy person becoming a bit crazier. Sure there is an undertone in that it is society and the system and the mean character of people that is bringing him down and creating the evil beast which later wants to destroy everything. Absolutely, but I think it is not intriguing story and plot and dialogue enough to give this a ten.

Worthy of watching, yes. But not amazing",realli understand ten sure good movi good act nice shoot plot intrigu time realli long somewhat bore need doublecheck gene see drama crime drama thrill said would put mayb 90 drama rest thrill miss dialogu depth substanc plot realli somewhat crazi person becom bit brazier sure underton societi system mean charact peopl bring creat evil beast later want destroy everyth absolut think intrigu stori plot dialogu enough give ten worthi watch ye amaz,,negative
review 21,"I went into this film expecting an all-time classic based on the reviews I had read & what I ended up watching was just a decent film overall. Phoenix is outstanding...so he definitely did his part. But I feel like if you've seen the trailers you've seen the movie because the best way I can describe this film is it feels like a 2 hour version of the trailer. At 2 hours it's a relatively common runtime, but it felt a lot longer...which isn't good. I'd say this is much more of a rental than a theater movie. Kinda just....eh.",went film expect allie classic base review read end watch decent film overal phoenix outstand definit part feel like you seen trailer you seen movi best way describ film feel like 2 hour version trailer 2 hour rel common aunti felt lot longerwhich isn good id say much rental theater movi kind just,,positive
review 22,"When I heard everyone saying that this is the film of the year and all the reviews flooding in with 10's, I was quite hyped and excited for this movie. When I walked out of the cinema, I felt hollow and empty.

Before I continue writing, let me say this, This is NOT the film of the year nor is it a real masterpiece. The cinematography is excellent and the acting is incredible, that's just it. The side-characters are bland and overly dramatic. The plot heavily relies on plot-twists and the film is so harsh that it actually falls flat on it's face.

Are there no good points though? Phoenix is phenomenal and the score is great. The cinematography is also incredible but the plot is not that great at all. It even has plot holes and scenes that left me empty.

Film of the year? Nope.",heard everyon say film year review flood wa quit hope excit movi walk cinema felt hollow empti continu write let say film year real masterpiec cinematographi excel act incred that sidecharact bland overlay dramat plot heavili relief plottwist film harsh actual fall flat face good point though phoenix phenomenon score great cinematographi also incred plot great even plot hole scene left empti film year hope,,positive
review 23,"This is just my opinion but I loved the Joker, the performances, cinematography, directing, style, all build a great story. And the acting from Phoenix was incredible, he done a great take for the iconic character, and wow does he commit, with loosing the weight for the role, to developing the laugh.",opinion love joke perform cinematographi direct style build great stori act phoenix incred done great take iron charact now commit look weight role develop laugh,,positive
review 24,"The recurring themes of so many of the 10 star reviews here should tell you a lot about this movie and its audience. If you can't get through a movie review without tossing in one or more claims that ""THIS movie is so much better and smarter than YOUR superhero movie"" (or even basing your entire review around this premise), then I hate to break it to you, but kid, you're nowhere near as intelligent and grown up as you think you are. This ""my comic publisher is better than yours"" BS should have been left behind on your grade school playground, it has absolutely no relevance to the quality of this movie, and your opinion of this movie should be considered highly suspect if you're in this group.

I gotta say, if this movie was also your idea of the most perfect film ever made, you really need to get out more. Look, I get it. If you live in a safe little box where all you watch are superhero movies and mainstream blockbusters then I understand how exposure to themes like this for the first time would seem new and exciting to you, and I think we can all agree that this is probably the best DC Comics related movie in the last decade or so (though that's not a high bar to meet) and of course Joaquin Phoenix is a very talented actor, but stop and take a step back and look at this thing.

Joker does indeed present a theme that is of importance to our society, that of the neglect and demonizing of the mentally ill to a degree that sometimes creates monsters which everyone around them should have seen coming a mile away if they hadn't been too busy looking away to avoid feeling uncomfortable. Unfortunately, reminding us all of the fact that this situation still exists is all this movie really has to say. It dances around important subjects like ""HEY KIDS, CLASS INEQUALITY!"", but then never offers any actual insight into them, usually because it's too busy making forced Batman references or dropping cringey little edgy moments like the ""Don't smile"" sign scene which seem to have been designed solely to have something for Hot Topic to print a new t-shirt of. Between that and every single plot twist being telegraphed so very far in advance because a lot of us have seen all these exact same twists so very many times before, I just wasn't impressed.

Perhaps if this had been an actual stand-alone movie of its own instead of being shackled by its completely unnecessary ties to the Batman universe it could have done something more interesting with its themes. Don't get me wrong, I don't have any problem with superhero movies, but it just feels so gratuitous here, as if someone came up with this idea, pitched it to an executive, and was told ""sounds great, but can you make it a Batman movie somehow?"", and I'm sorry, but I'm just not into a movie trying to tell me a half-hearted, yet dead-serious speech about mental illness in modern society while simultaneously constantly reminding me that it's technically a superhero movie because $$$",recur theme mani 10 star review tell lot movi audienc can get movi review without toss one claim movi much better smarter superhero movi even basin entir review around premis hate break kid your nowher near intellig grown think comic publish better is left behind grade school playground absolut relev qualiti movi opinion movi consid highli suspect your group gutta say movi also idea perfect film ever made realli need get look get live safe littl box watch superhero move mainstream blockbust understand exposur theme like first time would seem new excit think agre probabl best do comic relat movi last decad though that high bar meet cours joaquin phoenix talent actor stop take step back look thing joke inde present theme import societi neglect demon mental ill degre sometim creat monster everyon around seen come mile away hadn busi look away avoid feel uncomfort unfortun remind u fact situat still exist movi realli say danc around import subject like hey kiss class inequ never offer actual insight usual busi make forc batman refer drop cring littl edg moment like dont smile sign scene seem design sole someth hot topic print new shirt everi singl plot twist telegraph far advanc lot u seen exact twist mani time want impress perhap actual standalon movi instead shock complet unnecessari tie batman univers could done someth interest theme dont get wrong dont problem superhero move feel gratuit someon came idea pitch execut told sound great make batman movi somehow in sorri in movi tri tell hardheart yet deadseri speech mental ill modern societi simultan constantli remind technic superhero movi,,positive
review 25,"Joker is without a doubt my new favorite DC film. It's dark and gritty but with enough psychological twists that it keeps you guessing from beginning to end. Nothing can be taken at face value and the film forces you to think from beginning to end. Don't listen to the critics, this one is worth watching multiple times in theaters.",joke without doubt new favorit do film dark gritti enough psycholog twist keep guess begin end noth taken face valu film forc think begin end dont listen critic one worth watch multipl time theater,,positive
review 26,"I was so hyped up to see this movie, loved the trailer, only movie I have wanted to watch in the cinema for a very long time.

I watched it and was bored. the aesthetics were amazing, music was good, story and execution was meh. the performance of the joker was a good performance but people raving about this are driving me mad. either you have not seen many movies or I have seen too many.

this movie was bang average and was actually boring. I was actually thinking about leaving half way through as I was bored out of my mind.

I do not regret watching it but it is being so overhyped that I am so confused right now. I think it had a good premise but could have been so much more, so much more.

Signs of a great movie is the repeat viewing of it or it moving you, joker did not move me whatsoever and I would not watch it again.

I thought maybe people are getting paid to write good review but have actually met people who think it is the best movie ever.... OMGGG

This movie is bang average and way overhyped.

phoenix performance is good but as the story and execution is so bad, I feel he never even touched the higher spectrum of performance he could have with the character.

I have experienced and seen worse in my life, if this made you feel, you are (i hate this word but have to use it) a snowflake. Please get off social media and live life.

there is a real world out there.",hope see movi love trailer movi want watch cinema long time watch bore aesthet amaz music good stori execut me perform joke good perform peopl rave drive mad either seen mani move seen mani movi bang averag actual bore actual think leav half way bore mind regret watch overhyp confus right think good premis could much much sign great movi repeat view move joke move whatsoev would watch thought mayb peopl get paid write good review actual met peopl think best movi ever ogg movi bang averag way overhyp phoenix perform good stori execut bad feel never even touch higher spectrum perform could charact experienc seen wors life made feel hate word use snowflak plea get social medium live life real world,,positive
review 27,"Joaquin Phoenix gives Heath Ledger a run for his money, true story. This is not a popcorn fluff comic book flick. DO NOT TAKE YOUR KIDS TO SEE THIS MOVIE. Shut down all ballots for the Oscar, Joaquin is taking that one home hands down. One of the best origin stories EVER put out. The only downside to this movie, is that it is a stand alone film that will have no sequels or ties to the DC Universe. Todd Philips take on the Joker is one of pure brilliance and Joaquin Phoenix was the Joker we deserved. He didn't steal from Jack or Heath but yet you got a taste of both.",joaquin phoenix give heath ledger run money true stori popcorn fluff comic book flick take kiss see movi shut ballot oscar joaquin take one home hand one best origin stori ever put downsid movi stand alon film sequel tie do univers told philip take joke one pure brillianc joaquin phoenix joke deserv didn steal jack heath yet got tast,,positive
review 28,The ending is what matters in a movie. And this movie has a kind of ending which would leave many speechless. It's indeed a masterpiece:),end matter movi movi kind end would leav mani speechless inde masterpiec,,positive
review 29,"This has to be the dumbest DC movie yet. Way to miss the opportunity. First the Joker character is all wrong, this depicts Joker as unintelligent person with no wit. WRONG Joker maybe insane but his wit and intelligence is what makes him the master criminal that keeps batman on his toes. His ability to always find way out of being locked up was not demonstrated at all. The bar was set high with Joker in suicide squad and they didn't come close to the epic legend.",,,negative
review 30,"The music. The intense. The realism. The performance. The story. Such a perfect combination of everything. I never felt that a character like joker could be real until I saw this. Phoenix shows us what a joker is in our society and shows us how power can be obtained. Philips on the other hand had the perfect choice of music, camera angles, lighting and every important factor. Overall, I did not expect the story to be this perfect. Too many shocking turns happened and it really does represent today's society. If I was in the first screening, I would have applauded for 80 min not 8.",music intens realism perform stori perfect combin everyth never felt charact like joke could real saw phoenix show u joke societi show u power obtain philip hand perfect choic music camera angl light everi import factor overal expect stori perfect mani shock turn happen realli repres today societi first screen would applaus 80 min 8,,positive
review 31,"They say it's all in the writing. And this is a great example of that. Good acting and production values cannot save a script steeped in tiresome stereotypes and a failure to delve into a character's identity. We meet the Joker when already imbalanced and his so-called descent into madness is really a couple weeks away; far from a descent, it's a stroll. This is not a character study, despite claims to the contrary. It's a showcase of a good actor overly contorting his body and laughing manically as a mistaken expression of madness. Where is the past? Where are the influences? Where are the conflicts? What are the seminal moments that create the spiral? Perhaps if he had really had that relationship, and had it gone sour, it would justify a descent. Instead, it's a fait accompli. This is lazy writing, focused more on fancy long shots of Joaquin Phoenix dancing crazily than producing something of value to the franchise.",say write great exampl good act product valu can not save script step tiresom stereotyp failur delv charact ident meet joke alreadi balanc call descent mad realli coupl week away far descent stroll charact studi despit claim contrari showcas good actor overlay contort bodi laugh magic mistaken express mad past influenc conflict semin moment creat spiral perhap realli relationship gone sour would justifi descent instead fait accompli lazi write focus fanci long shot joaquin phoenix danc crazi produc someth valu franchis,,positive
review 32,"A beyond pathetic Taxi Driver/King of Comedy rip-off borefest that is objectively the single worst/completely non-existent version of the ""Joker"" character in history.

The troll-worthy ""masterpiece"" reviews are the dictionary definition proof of how easy it is to fool the laughably clueless sheep.

Keep crying about your ""SOCIETY!!!!"", cringey loser incels 🤣🤣🤣",beyond pathet taxi divert comedi trepoff briefest object singl worstcomplet nonexist version joke charact histori trollworthi masterpiec review dictionari definit proof easi fool laughabl careless sheep keep cri societi cring lower inch,,positive
review 33,"The perfect portrait of a decline to insanity"" & Joaquin Phoenix portrays this flawlessly in a performance of a lifetime. Choreographed impeccably by Todd Phillips & is nothing short of breathtaking. The cinematography & backdrop ideology of such an original film for such a complex character is only complimented by the superb soundtrack & acting. A hauntingly beautiful film & A Definate 10/10. Edit: Bring on part 2 plssssss!. We all want it!.",perfect portrait declin insan joaquin phoenix portray fearlessli perform lifetim choreograph impecc told phillip noth short breathtak cinematographi backdrop ideolog origin film complex charact compliment superb soundtrack act hauntingli beauti film definit 1010 edit bring part 2 plssssss want,,positive
review 34,It was a really slow paced and boring. It was too overhyped in my opinion.,realli slow pace bore overhyp opinion,,positive
review 35,"Phoenix convinces me that he has always meant to be the joker. The movie went beyond my expectations, so many emotions went through me these couple hours. I think because its rated R, Phoenix was able to unlock jokers full psychotic potential as the character he is meant to be. This was an AMAZING story, and it calls for more. And I mean a build up, a second movie, maybe one with batman? My hopes are too high at this point, but nevertheless, brilliant goddamn movie and THE BEST joker ever played hands down.",phoenix convinc alway meant joke movi went beyond expect mani emot went coupl hour think rate r phoenix abl clock joke full psychic potenti charact meant amaz stori call mean build second movi mayb one batman hope high point nevertheless brilliant goddamn movi best joke ever play hand,,positive
review 36,"The pool does not need the money. They need the dignity and respect, coz that is what it takes to be a human. If you don't have that, money will only be a reminder of them being a ""good boy"". Like some politicians, they feel so frustrated when people from the lower class does not accept their funding champions. In this movie, through joker's life, I begin to get it.",pool need money need digniti respect co take human dont money remind good boy like politician feel frustrat peopl lower class accept fund champion movi joke life begin get,,positive
review 37,"Masterpiece, one of the best films of the decade, it has it all, acting, directing, setting, photography, soundtrack, in a few years this film will be a cult one.","Masterpiece, one of the best films of the decade, it has it all, acting, directing, setting, photography, soundtrack, in a few years this film will be a cult one.",,positive
review 38,"I was expecting a masterpiece and oscar worthy film from all the hype. I actually didn't enjoy watching this movie. there was no message, it was slow and the joker turned out just to be the son of a schizophrenic and went crazy over a slight amount of bullying. I don't see how anyone could relate to this character and the laughing is lame acting way overdone. I'm just stunned that this has a 9/10 rating right now, how the hell?",expect masterpiec oscar worthi film hope actual didn enjoy watch movi messag slow joke turn son schizophren went crazi slight amount build dont see anyon could relat charact laugh lame act way everyon in stun 910 rate right hell,,positive
 review39,"I thought this movie was complete and utter garbage. I don't understand why people liked this movie so much. The character doesn't even stay true to the comics and the director flat out said it didn't, and then they made it seem like it was part of Gothams fall and he was just a little boy that had a laughing problem... Hated it",thought movi complet utter garag dont understand peopl like movi much charact doesn even stay true comic director flat said didn made seem like part gotham fall littl boy laugh problem hate,,negative
review 40,"What an incredible ride this was. I was almost motionless throughout, watching in awe the performance of a lifetime - the transition from troubled man to monster, the hounding score which directly drove the goosebumps, the cinematography which made you feel like you were flying through Gotham looking for Arthur yourself and the masterful De Niro who gave his nod to Jerry Lewis. Ignore DC. Ignore Batman. This is a work of art in its own right.",incred ride almost motionless throughout watch awe perform lifetim transit troubl man monster found score directli drove goosebump cinematographi made feel like fli gothic look arthur wast de no gave nod merri lewi ignor do ignor batman work art right,,positive
review 41,"10/10 Amazing story, Brilliant taking, magnificent cinematography. Someone had to step out of the safe game played by Superhero movies and Joker movie does just that (also The Boys). Movie is gritty, real, insanely dark and sometime quite disturbing to people who don't want accept what's shown in the movie is a terrible reality we face everyday if refused a proper care. Normally people start to compare the movie with one of the greatest like The Dark Knight and in acting wise to that of Heath ledger's Potrayal of joker. I wouldn't say this movie is better that that or otherwise , but it will stand tall amongst the greatest like The Godfather, Taxi Driver, Citizen Kane, The Dark Knight. Coming to the inevitable comparison of who's the better Joker? Heath or Joaquin. The answer is Both did a phenomenal job and the Joker character itself is fortunate to have being played by two greatest actors. Definitely a top contender for Oscars. I personally think it would take away 1.Best Actor 2.Cinematography 3.Original score and if Once Upon a time in Hollywood loses in Make-up and hairstyling category it would definitely be to The Joker.",1010 amaz stori brilliant take magnific cinematographi someon step safe game play superhero move joke movi also boy movi gritti real insan dark sometim quit disturb peopl dont want accept what shown movi terribl realiti face everyday refus proper care normal peopl start compar movi one greatest like dark knight act wise heath ledger betray joke wouldn say movi better otherwis stand tall amongst greatest like godfath taxi driver citizen lane dark knight come inevit comparison who better joke heath joaquin answer phenomenon job joke charact fortun play two greatest actor definit top contend scar person think would take away best actor 2cinematographi origin score upon time hollywood lose make hairstyl categori would definit joke,,positive
review 42,It was a really slow paced and boring. It was too overhyped in my opinion.,realli slow pace bore overhyp opinion,,negative
review 43,"The whole point of this movie is to bring attention to mental illness (I'll do you one better and name a bigger issue than mental illness that the film barely focuses on; the lack of quality mental healthcare) but the film completely discredits its own message with a one dimensional depiction of most of the world and characters that inhabit it. It seems that Gotham and its citizens (the entire universe for that matter) only exists to put Arthur down and considering the film isn't told from Arthur's perspective, it is a blatantly stupid depiction of the world. The reason why people liked it so much is because the sad corporate slaves (especially the youth currently being indoctrinated) were subconsciously tricked into believing they were part of some bigger cause when they were really just sitting in their comfy chairs.",whole point movi bring attent mental ill ill one better name bigger issu mental ill film bare focus lack qualiti mental healthcar film complet discredit messag one dimens deduct world charact inhabit seem gothic citizen entir univers matter exist put arthur consid film isn told arthur perspect blatantli stupid deduct world reason peopl like much sad corpor slave especi youth current indoctrin unconsci trick believ part bigger caus realli sit come chair,,positive
review 44,"Joaquin' portrayal of a sociopathic, mentally unstable man's transformation to the iconic Joker was non other than a grippingly accurate, realistic and touching rendition. A dark and disturbing character piece led by an Oscar worthy performance by Joaquin Phoenix. You really do feel bad for this guy, which makes it all the more heartbreaking when he inevitably becomes the clown prince of crime we all know and love, although we've never seen him like this. We see him suffer throughout the movie to the point we're almost rooting for himk to become a mass murdering psyco clown, because that at least will make feel better; then it happens and we just wish this could have all just been avoided, because es so messed up. We feel for him and care about him. By the time he's the joker, we wish we could've helped him. There's a lot of great nods to the greater Batman universe, yet the movie is a self contained character piece. That can only be the mark of a great movie. All the acting is great, the plot (while similar to Taxi Driver) is brilliant and the quality of the movie shows you don't need CGI super powers to be a great villain in a Superhero movie. Is a joke not everyone gets. This movie is ""the rise of the Joker!"" 10/10",joaquin portray sociopath mental unstabl man transform iron joke non grip accur realist touch condit dark disturb charact piec led oscar worthi perform joaquin phoenix realli feel bad guy make heartbreak inevit becom clown princ crime know love although were never seen like see suffer throughout movi point almost foot him becom mass murder psyco clown least make feel better happen wish could avoid e miss feel care time he joke wish could help there lot great nod greater batman univers yet movi self contain charact piec mark great movi act great plot similar taxi driver brilliant qualiti movi show dont need chi super power great villain superhero movi joke everyon get movi rise joke 1010,,positive
review45,"One of the best movies in these few years and 100% Oscar worthy

Joaquin Phoenix delivers one of the best performances I've ever scene",one best move year 100 oscar worthi joaquin phoenix deliv one best perform give ever scene,,positive
